posc_code,posc_name,erm_name,prj
28349,GDA94 / MGA zone 49,GDA94/MGA49,GDA94_MGA_zone_49
28350,GDA94 / MGA zone 50,GDA94/MGA50,GDA94_MGA_zone_50
28351,GDA94 / MGA zone 51,GDA94/MGA51,GDA94_MGA_zone_51
28352,GDA94 / MGA zone 52,GDA94/MGA52,GDA94_MGA_zone_52
28353,GDA94 / MGA zone 53,GDA94/MGA53,GDA94_MGA_zone_53
28354,GDA94 / MGA zone 54,GDA94/MGA54,GDA94_MGA_zone_54
28355,GDA94 / MGA zone 55,GDA94/MGA55,GDA94_MGA_zone_55
28356,GDA94 / MGA zone 56,GDA94/MGA56,GDA94_MGA_zone_56
28357,GDA94 / MGA zone 57,GDA94/MGA57,GDA94_MGA_zone_57
28358,GDA94 / MGA zone 58,GDA94/MGA58,GDA94_MGA_zone_58
6738,GDA94 / MGA zone 59,GDA94/MGA58,GDA94_MGA_zone_59
7846,GDA2020 / MGA zone 46,GDA2020/MGA46,GDA2020_MGA_ZONE_46
7847,GDA2020 / MGA zone 47,GDA2020/MGA47,GDA2020_MGA_ZONE_47
7848,GDA2020 / MGA zone 48,GDA2020/MGA48,GDA2020_MGA_ZONE_48
7849,GDA2020 / MGA zone 49,GDA2020/MGA49,GDA2020_MGA_ZONE_49
7850,GDA2020 / MGA zone 50,GDA2020/MGA50,GDA2020_MGA_ZONE_50
7851,GDA2020 / MGA zone 51,GDA2020/MGA51,GDA2020_MGA_ZONE_51
7852,GDA2020 / MGA zone 52,GDA2020/MGA52,GDA2020_MGA_ZONE_52
7853,GDA2020 / MGA zone 53,GDA2020/MGA53,GDA2020_MGA_ZONE_53
7854,GDA2020 / MGA zone 54,GDA2020/MGA54,GDA2020_MGA_ZONE_54
7855,GDA2020 / MGA zone 55,GDA2020/MGA55,GDA2020_MGA_ZONE_55
7856,GDA2020 / MGA zone 56,GDA2020/MGA56,GDA2020_MGA_ZONE_56
7857,GDA2020 / MGA zone 57,GDA2020/MGA57,GDA2020_MGA_ZONE_57
7858,GDA2020 / MGA zone 58,GDA2020/MGA58,GDA2020_MGA_ZONE_58
7859,GDA2020 / MGA zone 59,GDA2020/MGA59,GDA2020_MGA_ZONE_59
5546,PNG94,PNG94/GEODETIC,GCS_PNG94
5550,PNG94 / PNGMG94_ZONE_54,PNG94/PNGMG94_zone_54,PNG94_PNGMG94_zone_54
5551,PNG94 / PNGMG94_ZONE_55,PNG94/PNGMG94_zone_55,PNG94_PNGMG94_zone_55
5552,PNG94 / PNGMG94_zone_56,PNG94/PNGMG94_zone_56,PNG94_PNGMG94_zone_56
4167,NZGD2000,NZGD2000/GEODETIC,GCS_NZGD_2000
2193,NZGD2000 / New Zealand Transverse Mercator 2000,NZGD2000/NZTM,NZGD_2000_New_Zealand_Transverse_Mercator
2133,NZGD2000 / UTM zone 58S,NZGD2000/SUTM58,NZGD_2000_UTM_Zone_58S
2134,NZGD2000 / UTM zone 59S,NZGD2000/SUTM59,NZGD_2000_UTM_Zone_59S
2135,NZGD2000 / UTM zone 60S,NZGD2000/SUTM60,NZGD_2000_UTM_Zone_60S
4272,NZGD49,NZGD49/GEODETIC,GCS_New_Zealand_1949
27200,NZGD49 / New Zealand Map Grid,NZGD49/NZMG,NZGD_1949_New_Zealand_Map_Grid
27258,NZGD49 / UTM zone 58S,NZGD49/SUTM58,NZGD_1949_UTM_Zone_58S
27259,NZGD49 / UTM zone 59S,NZGD49/SUTM59,NZGD_1949_UTM_Zone_59S
27260,NZGD49 / UTM zone 60S,NZGD49/SUTM60,NZGD_1949_UTM_Zone_60S
32550,WGS 72BE / UTM zone 50S,WGS72BE/SUTM50,Unknown
32551,WGS 72BE / UTM zone 51S,WGS72BE/SUTM51,Unknown
32552,WGS 72BE / UTM zone 52S,WGS72BE/SUTM52,Unknown
32553,WGS 72BE / UTM zone 53S,WGS72BE/SUTM53,Unknown
32554,WGS 72BE / UTM zone 54S,WGS72BE/SUTM54,Unknown
32555,WGS 72BE / UTM zone 55S,WGS72BE/SUTM55,Unknown
32556,WGS 72BE / UTM zone 56S,WGS72BE/SUTM56,Unknown
32557,WGS 72BE / UTM zone 57S,WGS72BE/SUTM57,Unknown
32558,WGS 72BE / UTM zone 58S,WGS72BE/SUTM58,Unknown
32559,WGS 72BE / UTM zone 59S,WGS72BE/SUTM59,Unknown
32350,WGS 72 / UTM zone 50S,WGS72DOD/SUTM50,WGS_1972_UTM_Zone_50S
32351,WGS 72 / UTM zone 51S,WGS72DOD/SUTM51,WGS_1972_UTM_Zone_51S
32352,WGS 72 / UTM zone 52S,WGS72DOD/SUTM52,WGS_1972_UTM_Zone_52S
32353,WGS 72 / UTM zone 53S,WGS72DOD/SUTM53,WGS_1972_UTM_Zone_53S
32354,WGS 72 / UTM zone 54S,WGS72DOD/SUTM54,WGS_1972_UTM_Zone_54S
32355,WGS 72 / UTM zone 55S,WGS72DOD/SUTM55,WGS_1972_UTM_Zone_55S
32356,WGS 72 / UTM zone 56S,WGS72DOD/SUTM56,WGS_1972_UTM_Zone_56S
32357,WGS 72 / UTM zone 57S,WGS72DOD/SUTM57,WGS_1972_UTM_Zone_57S
32358,WGS 72 / UTM zone 58S,WGS72DOD/SUTM58,WGS_1972_UTM_Zone_58S
32359,WGS 72 / UTM zone 59S,WGS72DOD/SUTM59,WGS_1972_UTM_Zone_59S
32750,WGS 84 / UTM zone 50S,WGS84/SUTM50,WGS_1984_UTM_Zone_50S
32751,WGS 84 / UTM zone 51S,WGS84/SUTM51,WGS_1984_UTM_Zone_51S
32752,WGS 84 / UTM zone 52S,WGS84/SUTM52,WGS_1984_UTM_Zone_52S
32753,WGS 84 / UTM zone 53S,WGS84/SUTM53,WGS_1984_UTM_Zone_53S
32754,WGS 84 / UTM zone 54S,WGS84/SUTM54,WGS_1984_UTM_Zone_54S
32755,WGS 84 / UTM zone 55S,WGS84/SUTM55,WGS_1984_UTM_Zone_55S
32756,WGS 84 / UTM zone 56S,WGS84/SUTM56,WGS_1984_UTM_Zone_56S
32757,WGS 84 / UTM zone 57S,WGS84/SUTM57,WGS_1984_UTM_Zone_57S 
32758,WGS 84 / UTM zone 58S,WGS84/SUTM58,WGS_1984_UTM_Zone_58S 
32759,WGS 84 / UTM zone 59S,WGS84/SUTM59,WGS_1984_UTM_Zone_59S 
